UniqueName,Sensor_Gruppe,Sensor,SensorId,Station_Name
Waage 2 Kalibierlauf Gewicht,Waage 2 Kalibierlauf,Gewicht,b'\xef\xc0\x99\xf4\xc1`\xaeN\xb2hp6\xce\xdf6\xd4',WGE2
Waage 2 Kalibierlauf Pumpe,Waage 2 Kalibierlauf,Pumpe,"b'I\xe8b\xb1\xf5\xe5;O\xbf?\x9b""Z2\xab\x94'",WGE2
Waage 2 Kalibierlauf Dichte,Waage 2 Kalibierlauf,Dichte,b'Y\xd2I\xa5\x8b\x80\x0bI\xa6\xec\xa99\xbaL\x11\xac',WGE2
Waage 2 Kalibierlauf Durchflusszähler Füllen,Waage 2 Kalibierlauf,Durchflusszähler Füllen,b'\xd5~wI\x04Y\xfaH\x8f\xd7\xbc\xbf\rx\xa5\x9b',WGE2
Waage 2 Kalibierlauf Berechneter Umrechnungsfaktor,Waage 2 Kalibierlauf,Berechneter Umrechnungsfaktor,"b""]\xbb\x8a\xc9x\x17'B\x8a\x10\xfc\x0e9\x89\x048""",WGE2
Waage 1 Kalibierlauf Gewicht,Waage 1 Kalibierlauf,Gewicht,b'\xf4F\x94\xcf\xcb\x06\xc9B\x99-\xd4\xfcC+Q\x8c',WGE1
Waage 1 Kalibierlauf Pumpe,Waage 1 Kalibierlauf,Pumpe,b'\xe2\xd6>M#5ZB\xb0\xa2\xea\x0f\xf8\x97\xa2\x86',WGE1
Waage 1 Kalibierlauf Dichte,Waage 1 Kalibierlauf,Dichte,b'4\xc6R\x85\xbe\x8a\x10L\xa3X\x1d0w\x1f\xbaQ',WGE1
Waage 1 Kalibierlauf Durchflusszähler Füllen,Waage 1 Kalibierlauf,Durchflusszähler Füllen,b'o#\xbd\xb6\xaeI\xc7I\xa2o\xa8cq\x13\x82v',WGE1
Waage 1 Kalibierlauf Berechneter Umrechnungsfaktor,Waage 1 Kalibierlauf,Berechneter Umrechnungsfaktor,b'\x01\x7f\xd2\xcc\xc3\xd0\x92C\xb655b\x03\x97\xd6\xdc',WGE1
Pumpe 1 Kalibrierlauf Füllvolumen,Pumpe 1 Kalibrierlauf,Füllvolumen,"b""h=\x99'#\xe2'E\x93'2#\x9eu\xc3\xd4""",ABE1
Pumpe 1 Kalibrierlauf Durchflusszähler,Pumpe 1 Kalibrierlauf,Durchflusszähler,b'\x06\x0b\xaa\xe2W\x86QF\x81\xfd\x9b\x16\x1e\xe0\x8f\x95',ABE1
Pumpe 1 Kalibrierlauf Füllzeit,Pumpe 1 Kalibrierlauf,Füllzeit,b'\x1b\xdd6\x03\xd0HAB\x85\xad\x8dE\x9e\xd9x\xc1',ABE1
Pumpe 1 Kalibrierlauf Drehzahl,Pumpe 1 Kalibrierlauf,Drehzahl,b'\x9e\x98QT#{\xbaI\x9c!+\x9e\xfdh\xdea',ABE1
Pumpe 1 Kalibrierlauf Dichte,Pumpe 1 Kalibrierlauf,Dichte,b'C\x81\xde0\xde\x88\xc3F\xb7@\x98S\xba\xa7\xd3\xfc',ABE1
Pumpe 1 Kalibrierlauf Füllgewicht,Pumpe 1 Kalibrierlauf,Füllgewicht,"b',^\xa4n\xe44\x83C\x96M\xcc\x995\xb2\xa0\xdc'",ABE1
Pumpe 1 Kalibrierlauf Füllvolumen,Pumpe 1 Kalibrierlauf,Füllvolumen,b'\x87\xcc\xe9\xdd\xec\xa6\xfdB\x82b\xbb@yh\xe4\xd3',ABE2
Pumpe 1 Kalibrierlauf Durchflusszähler,Pumpe 1 Kalibrierlauf,Durchflusszähler,b'\xb1V[\xe3o\xf9jL\x83\xf1\xaf\xa7\xb4\xe6\x82\x12',ABE2
Pumpe 1 Kalibrierlauf Füllzeit,Pumpe 1 Kalibrierlauf,Füllzeit,b'\xb2\x05\x9c\x1e]\xc6\xb5O\xb9\xa4/\x06\x9ay\xb4\xb4',ABE2
Pumpe 1 Kalibrierlauf Drehzahl,Pumpe 1 Kalibrierlauf,Drehzahl,b'\xb4]\x8a\xb1\xcd\x85\xc6I\x89\xa0\xe0\x85\x90\xfe\x812',ABE2
Pumpe 1 Kalibrierlauf Dichte,Pumpe 1 Kalibrierlauf,Dichte,b'\x7f#\x8e\x8aM\xe3@M\xae\x82\xa0S\xe5\xed\xda\x92',ABE2
Pumpe 1 Kalibrierlauf Füllgewicht,Pumpe 1 Kalibrierlauf,Füllgewicht,b'S\xdb\x07\xd2\xae\x861L\xaf+!n\xa7\xa5\xc9_',ABE2
Pumpe 2 Kalibrierlauf Füllvolumen,Pumpe 2 Kalibrierlauf,Füllvolumen,b'\xb62\xf7@\x98S0J\x9b\xa7\x11@\xdb\xab\xaa\xce',ABE2
Pumpe 2 Kalibrierlauf Durchflusszähler,Pumpe 2 Kalibrierlauf,Durchflusszähler,"b'\xa0\xf1""D\x95\x11LO\x92c\xad\x12\x17\x97\x8b\xae'",ABE2
Pumpe 2 Kalibrierlauf Füllzeit,Pumpe 2 Kalibrierlauf,Füllzeit,b'\xaf/@\x141\xb6;D\xb8\xecH\xcf\xce\x1b\x9dF',ABE2
Pumpe 2 Kalibrierlauf Drehzahl,Pumpe 2 Kalibrierlauf,Drehzahl,b'\xce\xdc\x04f@\xa2dD\x8a\xc8\x99}\x8d\xc6\x92a',ABE2
Pumpe 2 Kalibrierlauf Dichte,Pumpe 2 Kalibrierlauf,Dichte,b'\x8d\xd2\x00\x96\xbaR A\xb9\xef\xedK\x8dg\xf4\xbd',ABE2
Pumpe 2 Kalibrierlauf Füllgewicht,Pumpe 2 Kalibrierlauf,Füllgewicht,b'\x04\x08HOh\x14~@\x94]\x14\xfd\xdb\x7fs{',ABE2
Pumpe 3 Kalibrierlauf Füllvolumen,Pumpe 3 Kalibrierlauf,Füllvolumen,b'Wz2\xff\xcf$\x88L\xba\xf4\xb7\xda\x01\x174@',ABE2
Pumpe 3 Kalibrierlauf Durchflusszähler,Pumpe 3 Kalibrierlauf,Durchflusszähler,"b'\xb2\xe3,\x01\xae\xce\x17O\xb6.\xf8\x10EJld'",ABE2
Pumpe 3 Kalibrierlauf Füllzeit,Pumpe 3 Kalibrierlauf,Füllzeit,b's\xf3U\x82\xd3\x18\tC\x89\xe7\x83!\xf8>3\x8b',ABE2
Pumpe 3 Kalibrierlauf Drehzahl,Pumpe 3 Kalibrierlauf,Drehzahl,"b'C0\xdfMG\xa0\xeaK\x80\x01T7\x8e\x01{,'",ABE2
Pumpe 3 Kalibrierlauf Dichte,Pumpe 3 Kalibrierlauf,Dichte,b'h\xfd\xf7\x15\xdfx)N\xbb1\xb9\xbc\x82A:\xbf',ABE2
Pumpe 3 Kalibrierlauf Füllgewicht,Pumpe 3 Kalibrierlauf,Füllgewicht,"b'A@\x18R""\xd2+A\x9bW\t""pr>\xe3'",ABE2
Pumpe 2 Kalibrierlauf Füllvolumen,Pumpe 2 Kalibrierlauf,Füllvolumen,"b'\x8aI\xe9\x93\x98\x06rG\x94\x19\xf3\xa5\x0c^""\x02'",ABE1
Pumpe 2 Kalibrierlauf Durchflusszähler,Pumpe 2 Kalibrierlauf,Durchflusszähler,b'\xab\x90\x10\t\x0b[\xb3B\xb0M\xb7\xe34-\xc2\xc3',ABE1
Pumpe 2 Kalibrierlauf Füllzeit,Pumpe 2 Kalibrierlauf,Füllzeit,b'\xe1c\xf5Z:8\x19N\xb6(T%\xc1\xa2\xb8\xb8',ABE1
Pumpe 2 Kalibrierlauf Drehzahl,Pumpe 2 Kalibrierlauf,Drehzahl,"b'\xbe~\xe3\xcf\xf8\xf3""I\x84\xf3\xd3\xa1V\xc4\xd2\xb3'",ABE1
Pumpe 2 Kalibrierlauf Dichte,Pumpe 2 Kalibrierlauf,Dichte,b'\x93\x1b\xcd\xac\xd6\x04\xceF\x90\xf4\x87\xc99\xbc\xc8Y',ABE1
Pumpe 2 Kalibrierlauf Füllgewicht,Pumpe 2 Kalibrierlauf,Füllgewicht,b'\xee\xad\xdc\xa89\xa2\xb8N\x865\x7f$xDW\x0f',ABE1
Pumpe 5 Kalibrierlauf Füllvolumen,Pumpe 5 Kalibrierlauf,Füllvolumen,"b""CnrU\xce\x05+N\xac\xb9\xff'\xeb\x86yo""",ABE2
Pumpe 5 Kalibrierlauf Durchflusszähler,Pumpe 5 Kalibrierlauf,Durchflusszähler,"b'\xf7+\x0f\x18l~;@\xb4x,W[Aa\xbc'",ABE2
Pumpe 5 Kalibrierlauf Füllzeit,Pumpe 5 Kalibrierlauf,Füllzeit,b'\x01n\xbb\xaf\x9c^9I\x92\x0f\xc8\xab\x87\x88d\x1c',ABE2
Pumpe 5 Kalibrierlauf Drehzahl,Pumpe 5 Kalibrierlauf,Drehzahl,b'\x05z\x87\xa1rT(H\xb0\x9bc\\\x9aF#f',ABE2
Pumpe 5 Kalibrierlauf Dichte,Pumpe 5 Kalibrierlauf,Dichte,b'\xaf\xb8\xd5\xa7$\x95\xbcE\xa0^\xc2\x06\xa4\x94h\xce',ABE2
Pumpe 5 Kalibrierlauf Füllgewicht,Pumpe 5 Kalibrierlauf,Füllgewicht,b'g&V\xf4\xb5c\x8eM\xbe\xf0_\xddF\xc4\x15f',ABE2
Pumpe 3 Kalibrierlauf Füllvolumen,Pumpe 3 Kalibrierlauf,Füllvolumen,"b'HR\xc5f\xd3\xa2""C\xa0\x05\'8\xfdY\x1c\x91'",ABE1
Pumpe 3 Kalibrierlauf Durchflusszähler,Pumpe 3 Kalibrierlauf,Durchflusszähler,"b""\xc5'\xe6Dr\x97\xabI\xb6W\x18+\xc5kq\x1d""",ABE1
Pumpe 3 Kalibrierlauf Füllzeit,Pumpe 3 Kalibrierlauf,Füllzeit,b'H\x9e;\xc2\xd5\xcce@\xa3@;\xde}\xb8\n\x80',ABE1
Pumpe 3 Kalibrierlauf Drehzahl,Pumpe 3 Kalibrierlauf,Drehzahl,b':\x91\x1e3\x8fC\xa2N\x82\xfb\xfc\xa1i\xa0\xe1`',ABE1
Pumpe 3 Kalibrierlauf Dichte,Pumpe 3 Kalibrierlauf,Dichte,b'rL=;Q\xbbrJ\x87}<I0Y\x97\xa0',ABE1
Pumpe 3 Kalibrierlauf Füllgewicht,Pumpe 3 Kalibrierlauf,Füllgewicht,b'2)\x9e\x17f_\rE\xac\x88\x11\xc4G\x8e\xdbr',ABE1
Pumpe 5 Kalibrierlauf Füllvolumen,Pumpe 5 Kalibrierlauf,Füllvolumen,b'L\xe2\x9b\x0bv\xbe\x8bF\xa5!$/I\xc6sn',ABE1
Pumpe 5 Kalibrierlauf Durchflusszähler,Pumpe 5 Kalibrierlauf,Durchflusszähler,b'\xe6>\xa4XiO\x1bI\xb5>x\x99\xb7\xc6c\x92',ABE1
Pumpe 5 Kalibrierlauf Füllzeit,Pumpe 5 Kalibrierlauf,Füllzeit,b'%;\xce\xa5\xd4O\xecA\xb6u\xd5Tv\x10o\x94',ABE1
Pumpe 5 Kalibrierlauf Drehzahl,Pumpe 5 Kalibrierlauf,Drehzahl,b'M\xe5\xcb\x08e)3G\x91?\xf8\xe2t\xbc\xd5\xf7',ABE1
Pumpe 5 Kalibrierlauf Dichte,Pumpe 5 Kalibrierlauf,Dichte,b'd\xe3\tw[\x9e\x89B\xa1\x05\xf9 Y\xba\xef\x7f',ABE1
Pumpe 5 Kalibrierlauf Füllgewicht,Pumpe 5 Kalibrierlauf,Füllgewicht,b'\x05\xfc(\xfe*(\xa9M\xb7\x0e\x0b\xda\x00]\x9a\x01',ABE1
Pumpe 6 Kalibrierlauf Füllvolumen,Pumpe 6 Kalibrierlauf,Füllvolumen,b'\x860\xf4\xa0\x8f\xd98K\xa6V\xae2y\x1a\x14\x14',ABE2
Pumpe 6 Kalibrierlauf Durchflusszähler,Pumpe 6 Kalibrierlauf,Durchflusszähler,b'A\x8fZoH\xe8\x0cO\x91\x1eD\xb7\xe8&n\x81',ABE2
Pumpe 6 Kalibrierlauf Füllzeit,Pumpe 6 Kalibrierlauf,Füllzeit,b'yq\xb6\xc5u\xda\xc1J\x9b\xf6F\xda.\\\x01<',ABE2
Pumpe 6 Kalibrierlauf Drehzahl,Pumpe 6 Kalibrierlauf,Drehzahl,b'\xcd\xed\xd2\xa5\xc2\xfb\xf2H\x96:$\xad\xc7\xcc\xc3\xbe',ABE2
Pumpe 6 Kalibrierlauf Dichte,Pumpe 6 Kalibrierlauf,Dichte,b'\x827tI`\xd7\x15L\x8f\xba\x8a\x00\x8bb\x90\xf0',ABE2
Pumpe 6 Kalibrierlauf Füllgewicht,Pumpe 6 Kalibrierlauf,Füllgewicht,b'D\xf7\x8c3\xa8\xaf\xabJ\xa7\xac\xd3vB&\x16\xd0',ABE2
Pumpe 7 Kalibrierlauf Füllvolumen,Pumpe 7 Kalibrierlauf,Füllvolumen,b'\xc4;\xae\x08\xe9\xb2\x8cA\xbe Eu\xd5\x02\xe1\x98',ABE2
Pumpe 7 Kalibrierlauf Durchflusszähler,Pumpe 7 Kalibrierlauf,Durchflusszähler,b'\x94\xd84\x03\xfe\xedqK\x8dIwA\x89?\xb3\x98',ABE2
Pumpe 7 Kalibrierlauf Füllzeit,Pumpe 7 Kalibrierlauf,Füllzeit,b't\xe1\xa3Y\xbb\x1b\xfb@\x98\x1e \xe0<\x92\xd7p',ABE2
Pumpe 7 Kalibrierlauf Drehzahl,Pumpe 7 Kalibrierlauf,Drehzahl,b'\xb6\x8b\xd0\x19\xa7\x9cuO\x8d\xdf\xce7\xfc\r=\x89',ABE2
Pumpe 7 Kalibrierlauf Dichte,Pumpe 7 Kalibrierlauf,Dichte,b'\xadh\xfbf\xa2\xef\xce@\x94\xef\x1a\xc6\x9b\x04$\x02',ABE2
Pumpe 7 Kalibrierlauf Füllgewicht,Pumpe 7 Kalibrierlauf,Füllgewicht,b'\xde\xd3:\xdd\xbe?\x93K\xa3j#(\x82\x9f\xeb\x10',ABE2
Pumpe 6 Kalibrierlauf Füllvolumen,Pumpe 6 Kalibrierlauf,Füllvolumen,b'\x85e\xf8\x04\xff\xd2\nI\xa3\x06\x01\x99\xbdvZ\x03',ABE1
Pumpe 6 Kalibrierlauf Durchflusszähler,Pumpe 6 Kalibrierlauf,Durchflusszähler,b'\xad\xa9\xcc\xf1y\rb@\xbeE_{\xaa\r\xac[',ABE1
Pumpe 6 Kalibrierlauf Füllzeit,Pumpe 6 Kalibrierlauf,Füllzeit,b'\x85;\xe7\xd64L\xaeC\xa4\xc5W\x14\xc1L\xab[',ABE1
Pumpe 6 Kalibrierlauf Drehzahl,Pumpe 6 Kalibrierlauf,Drehzahl,b'\x8a\xc9v\xf51\xde\x0f@\x91_\xc4\x8a\xd8\xd2\x12\x86',ABE1
Pumpe 6 Kalibrierlauf Dichte,Pumpe 6 Kalibrierlauf,Dichte,b'\xbb\x1aa\xee\xeb8UN\xbas>\xa4\x8a\xfc{\xa7',ABE1
Pumpe 6 Kalibrierlauf Füllgewicht,Pumpe 6 Kalibrierlauf,Füllgewicht,b'J\xd6\x93\xef\x9e\x82?B\xaf\x8c\xffuE1\x1c\xf1',ABE1
Pumpe 7 Kalibrierlauf Füllvolumen,Pumpe 7 Kalibrierlauf,Füllvolumen,b'\xe2\x18\x9b\x14\x9f+\x16K\x93\xdb\x0c\xe5J\x0b\x1eN',ABE1
Pumpe 7 Kalibrierlauf Durchflusszähler,Pumpe 7 Kalibrierlauf,Durchflusszähler,"b'\x18\xb5\xf4rC\xc8""A\xad\x8a\x0b\xee\xcdBMv'",ABE1
Pumpe 7 Kalibrierlauf Füllzeit,Pumpe 7 Kalibrierlauf,Füllzeit,"b'\xb4\x04q\xbf\xa8\xcc-H\x86\x1d\xb0\xb3,\xaf\xa0\x0f'",ABE1
Pumpe 7 Kalibrierlauf Drehzahl,Pumpe 7 Kalibrierlauf,Drehzahl,"b'\xf8\xb9,Y\xf0R\x1aF\xb2=h\xdd\x93:\xd6\x8e'",ABE1
Pumpe 7 Kalibrierlauf Dichte,Pumpe 7 Kalibrierlauf,Dichte,b'\xa9\xdb\xa1\x81\xdfA\x9dC\x889\xb2w T[\xe9',ABE1
Pumpe 7 Kalibrierlauf Füllgewicht,Pumpe 7 Kalibrierlauf,Füllgewicht,b'\xb1\x9a\xae=\xd56\xa5F\xb46\\\xa4\x18\xbc\xefz',ABE1
Pumpe 8 Kalibrierlauf Füllvolumen,Pumpe 8 Kalibrierlauf,Füllvolumen,b't\xe2\xf6r\xbe\xdf%M\x921\x1c\xaf\xaa;#;',ABE2
Pumpe 8 Kalibrierlauf Durchflusszähler,Pumpe 8 Kalibrierlauf,Durchflusszähler,"b'J\xec_\xd7\x0fGlM\xba\xfb\xc4\xd8,v\xfa\x9f'",ABE2
Pumpe 8 Kalibrierlauf Füllzeit,Pumpe 8 Kalibrierlauf,Füllzeit,b'\x92%\xa0S2\xf3ZJ\xbd\xf0&\x01Xs\x1a\xfa',ABE2
Pumpe 8 Kalibrierlauf Drehzahl,Pumpe 8 Kalibrierlauf,Drehzahl,b'wS\x07Wr\x1b\xf6J\xb5\xa6\x84\x1b%\xa4\x8b\xe4',ABE2
Pumpe 8 Kalibrierlauf Dichte,Pumpe 8 Kalibrierlauf,Dichte,b'\xb3\xebj\x1e5\x0bYN\xbb\x98uG\x95S\xbd\x91',ABE2
Pumpe 8 Kalibrierlauf Füllgewicht,Pumpe 8 Kalibrierlauf,Füllgewicht,b'\xa1C]D\xd4c\x05B\xb0\xeb\xc7\x9d\x9d\x10\xa6\xf2',ABE2
Pumpe 8 Kalibrierlauf Füllvolumen,Pumpe 8 Kalibrierlauf,Füllvolumen,b'Sj[z\xfe\xe1\xc3G\xb5\xd9\xbb\xfb?x\xbe\xbf',ABE1
Pumpe 8 Kalibrierlauf Durchflusszähler,Pumpe 8 Kalibrierlauf,Durchflusszähler,b'z\xa2\x8f\x1b\xf5g}G\xa9\xff\xa5N}\x8c7[',ABE1
Pumpe 8 Kalibrierlauf Füllzeit,Pumpe 8 Kalibrierlauf,Füllzeit,b'\xac\xbc\xf0@e\xe8\xbdG\x98\x8b&\xb0\xf0\x97\x95\xe0',ABE1
Pumpe 8 Kalibrierlauf Drehzahl,Pumpe 8 Kalibrierlauf,Drehzahl,b'\xd1\xd1\xe2Wuz\xe0J\x96`~\xa3+\xf5\xaf\x18',ABE1
Pumpe 8 Kalibrierlauf Dichte,Pumpe 8 Kalibrierlauf,Dichte,b'H\r\x1bJ3&CC\xbe\x04s\r\xdb*8\xac',ABE1
Pumpe 8 Kalibrierlauf Füllgewicht,Pumpe 8 Kalibrierlauf,Füllgewicht,"b""\x8c\x8cq<\xb1\x90\x0fN\x9a\xd5r8GC'Q""",ABE1
Waage 1 Leergewicht,Waage 1,Leergewicht,b'\x10\x8eS\xff\xf0L\x1cO\xa4\x1b\x13\xcf\xc3\xca\xb8\t',WGE1
Waage 1 Gesamtgewicht,Waage 1,Gesamtgewicht,b'rFu+Y\xedvN\xa8(\xc2[\xc3BM\xb4',WGE1
Waage 1 Differenzgewicht,Waage 1,Differenzgewicht,b'\x88\xa0L\xa5\x9ds\xf0N\x82D\x94\xfaz1\xa4\x9a',WGE1
Waage 1 Plausibilität,Waage 1,Plausibilität,b'%\xeb\x80\xea\xe6\x91\xf2C\xa5\x9d)\xab#\x1a\xc9@',WGE1
Waage 2 Leergewicht,Waage 2,Leergewicht,"b'=,\xfa\xe3\xbcM\xa4E\xb2hf\xa9\xd8|\xa2&'",WGE2
Waage 2 Gesamtgewicht,Waage 2,Gesamtgewicht,b'~\x81\x0b\xfd\xc2\x85\xc1N\x9d]\x00.g\x07\n\x88',WGE2
Waage 2 Differenzgewicht,Waage 2,Differenzgewicht,b'G\xbe\xaa\xf7Z\r\xbbL\xaetZ^\x9aY\x89\x14',WGE2
Waage 2 Plausibilität,Waage 2,Plausibilität,b'mF\x91E\xebT\xef@\x98IJO\xd3\xc78W',WGE2
Pumpe 7 Füllvolumen,Pumpe 7,Füllvolumen,b'\x0c\xd5le\x06\xac8G\xbb\xc4\xe2.\xc0\xb0nV',ABE1
Pumpe 7 Füllzeit,Pumpe 7,Füllzeit,b'\xfe\xd4\xc86\xb4\xbe\x9dK\x92\x1f\xfc\xe1\xa6\xca\x04:',ABE1
Pumpe 7 Durchflusszähler,Pumpe 7,Durchflusszähler,b'\xb7 {5PY\xbaO\xa5\xd4\x84\x90\xb9L!c',ABE1
Pumpe 7 Drehzahl,Pumpe 7,Drehzahl,b'B\xafZ\x8a4\x89CA\x84\xb8\xb0\xcc\xc6:{\xf5',ABE1
Pumpe 7 Umrechnungsfaktor Volumen,Pumpe 7,Umrechnungsfaktor Volumen,"b'\x95\x82\xbe\xa4\xa7`\x07D\xb4\xc0\xa0\xee(\n""\x94'",ABE1
Pumpe 7 Dichte,Pumpe 7,Dichte,b'\xbb\\\xfe\xc6\xb0\xbb\xe8E\x9d\x94U\xcdbs\x96%',ABE1
Pumpe 7 Füllgewicht,Pumpe 7,Füllgewicht,"b'm,\x81#\xf3p\xdbG\xa2\xe4\xc5\x0c_C\xfc\xb0'",ABE1
Pumpe 7 Füllvolumen,Pumpe 7,Füllvolumen,b'\xb4d\x06)5&\xdeF\x8fu\xbd\x8bw\xfc\xcf\xb0',ABE2
Pumpe 7 Füllzeit,Pumpe 7,Füllzeit,"b'\xf2\xd1\x05q7X\x0bK\x8d\xaeh\xd0""\xab\xfa+'",ABE2
Pumpe 7 Durchflusszähler,Pumpe 7,Durchflusszähler,b'\x0b\x0c\x81\xc2\xaf\xe0uO\xb0\x1da\xa4\xdd\xbc\xa9Q',ABE2
Pumpe 7 Drehzahl,Pumpe 7,Drehzahl,b'\x1b#\xf9\x11\x84H\tF\x92\xc5\xed\x1f\xb6Q\xc4\xaf',ABE2
Pumpe 7 Umrechnungsfaktor Volumen,Pumpe 7,Umrechnungsfaktor Volumen,b'V\x9ewO\x0e\xd6\x16D\xa9U\xdf\x07\x83\x93\x83X',ABE2
Pumpe 7 Dichte,Pumpe 7,Dichte,"b'$@bKiL\x9fM\xa1\x02i\xec,\xd1\xc8U'",ABE2
Pumpe 7 Füllgewicht,Pumpe 7,Füllgewicht,b'\x1a\xc9\xb6\xff\x18\xbeKF\x8bgHq\x951\x17\xf0',ABE2
Pumpe 1 Füllvolumen,Pumpe 1,Füllvolumen,"b'\x11\x86w\xdb""\x0e\x88D\xa5Tjx?\x9fd\x14'",ABE1
Pumpe 1 Füllzeit,Pumpe 1,Füllzeit,b'\xcdp\xab\x1c\xb6\x11\xf7@\xb4\xbd\xf3\x10_\xe4]\xc2',ABE1
Pumpe 1 Durchflusszähler,Pumpe 1,Durchflusszähler,b'd\xb1n\xbc\xd3\xc1*I\xb2\x08\xec2K\xb3j\xaa',ABE1
Pumpe 1 Drehzahl,Pumpe 1,Drehzahl,b'jL\xf6\xb8\xcd\xa2\x1dI\x93:\xe9\xcf\xd8\xae\x80v',ABE1
Pumpe 1 Umrechnungsfaktor Volumen,Pumpe 1,Umrechnungsfaktor Volumen,b'9b\xac+\xb4s\x95K\x8eh\r\x14\x9c\xf7W\r',ABE1
Pumpe 1 Dichte,Pumpe 1,Dichte,"b'H\xdc\xdaA\xe2\xa7YF\x91E\x85\xa4,\x97\xec\xab'",ABE1
Pumpe 1 Füllgewicht,Pumpe 1,Füllgewicht,b'2t\t\x84\xee*\xccI\x95I2j\x87\x8f4\x92',ABE1
Pumpe 1 Füllvolumen,Pumpe 1,Füllvolumen,b'\xdaU8*W\xcb\xacJ\x9e\xdf\x83X\x95H\x91/',ABE2
Pumpe 1 Füllzeit,Pumpe 1,Füllzeit,b'`\x80\xa6\xa15\xa2\x08M\xa9\x15\xb9\x00\xa4P\x07u',ABE2
Pumpe 1 Durchflusszähler,Pumpe 1,Durchflusszähler,b'SC\xb5\xb2C\xe3XO\xb0[?\x1c\xb3\\r\x17',ABE2
