klima_id,datum,woche,haus,aussen_strahlungssumme_j_cm2,aussen_tagestemperatur_c,aussen_nachttemperatur_c,aussen_dif_c,aussen_durchschnittstemp_c,aussen_windschnellheit_m_s,aussen_windschnellheit_nacht_m_s,aussen_feuchtigkeit_tag_proz,aussen_fd_tag_g_m3,aussen_feuchtigkeit_nacht_proz,aussen_fd_nacht_g_m3,aussen_fd_durchschnitt_g_m3,aussen_feuchtigkeit_durchschnitt_proz,aussen_tageslaenge_uhr,schirm_energieschirm_proz,gh_gem_tag_c,gh_gem_nacht_c,gh_gem_dif,gh_gem_tagesdurchschnitt_c,gh_ber_taeg_temp,rohr_temp_tag_c,rohr_temp_nacht_c,rohr_temp_tagesdurchschnitt_c,co2_tag_ppm,co2_nacht_ppm,co2_einspeisung_kg_ha,feucht_fd_tag_g_m3_2,feucht_fd_nacht_g_m3_2,feucht_fd_durchschnitt_g_m3_2,feucht_rf_tag_proz,feucht_rf_nacht_proz,feucht_rfdurchschnitt_proz
1312,2025-02-28 00:00:00,9,6,498,6.9,0.4,6.5,3.7,1.5,1.5,0.8,0,0.8,0,0,0.8,11.00,0.89,16.8,15,1.8,15.9,19.3,30,35,32.5,0,0,0,1.4,0.9,1.2,0.9,0.93,0.915
1313,2025-02-28 00:00:00,9,7,498,6.9,0.4,6.5,3.7,1.5,1.5,0.8,0,0.8,0,0,0.8,11.00,0.84,17.1,14.8,2.3,16,19.3,29,34,31.5,0,0,0,2.4,1.5,2,0.84,0.88,0.86
1314,2025-02-28 00:00:00,9,31,498,6.9,0.4,6.5,3.7,1.5,1.5,0.8,0,0.8,0,0,0.8,11.00,0.97,15,15.2,-0.2,15.1,19.3,24,37,30.5,819,1045,0,2.6,3,2.8,0.82,0.78,0.8
1315,2025-02-28 00:00:00,9,32,498,6.9,0.4,6.5,3.7,1.5,1.5,0.8,0,0.8,0,0,0.8,11.00,0.97,15.4,15.3,0.1,15.4,19.3,24,35,29.5,920,1185,0,0.6,0.5,0.6,0.96,0.96,0.96
1316,2025-02-28 00:00:00,9,33,498,6.9,0.4,6.5,3.7,1.5,1.5,0.8,0,0.8,0,0,0.8,11.00,0.97,15.6,15.3,0.3,15.5,19.3,25,34,29.5,969,1218,0,3.2,3,3.1,0.78,0.78,0.78
1317,2025-02-28 00:00:00,9,34,498,6.9,0.4,6.5,3.7,1.5,1.5,0.8,0,0.8,0,0,0.8,11.00,0.97,15,15,0,15,19.3,24,36,30,0,0,0,2.8,2.9,2.9,0.8,0.78,0.79
1318,2025-03-01 00:00:00,9,6,474,5.2,0.1,5.1,2.7,3.4,3.4,0.6,0,0.9,0,0,0.75,11.05,0.85,19.1,19.6,-0.5,19.4,19.2,35,51,43,0,0,0,0.8,0.8,0.8,0.95,0.95,0.95
1319,2025-03-01 00:00:00,9,7,474,5.2,0.1,5.1,2.7,3.4,3.4,0.6,0,0.9,0,0,0.8,11.05,0.84,19.4,19.6,-0.2,19.5,19.2,37,51,44,0,0,0,1.7,1.7,1.7,0.9,0.9,0.9
1320,2025-03-01 00:00:00,9,31,474,5.2,0.1,5.1,2.7,3.4,3.4,0.6,0,0.9,0,0,0.8,11.05,0.86,19.1,19.4,-0.3,19.3,19.2,42,53,47.5,1201,1444,0,3.4,3.9,3.7,0.8,0.76,0.78
1321,2025-03-01 00:00:00,9,32,474,5.2,0.1,5.1,2.7,3.4,3.4,0.6,0,0.9,0,0,0.8,11.05,0.86,19.2,19.9,-0.7,19.6,19.2,41,53,47,1392,1627,0,0.6,1,0.8,0.96,0.94,0.95
