produktion_id,pflanze_id,datum,woche,blueten_pro_staengel,bluetezeit_truss_woche,gesetzte_fruechte_pro_staengel,fruchtansatz_x_m2,truss_nr_ernte_fruechte_obere_truss,truss_nr_gesetzte_fruechte_obere_truss,geernteten_fruechte_auf_der_oberen_truss,geernteten_fruechte_auf_der_oberen_truss_minus1,geernteten_fruechte_auf_der_oberen_truss_minus2,geernteten_fruechte_auf_der_oberen_truss_minus3,geernteten_fruechte_auf_der_oberen_truss_minus4,geernteten_fruechte_auf_der_oberen_truss_minus5,geernteten_fruechte_pro_staengel,produktion_x_m2,erntegeschwindigkeit_fruchte_wochef_wochei,erntegeschwindigkeit_truss_woche,fruchtzeit,truss_nr_bluehende_obere_truss,blueten_auf_der_oberen_truss,blueten_auf_der_oberen_truss_minus1,blueten_auf_der_oberen_truss_minus2,blueten_auf_der_oberen_truss_minus3,blueten_auf_der_oberen_truss_minus4,blueten_auf_der_oberen_truss_minus5,gesetzten_fruechte_auf_der_oberen_truss,gesetzten_fruechte_auf_der_oberen_truss_minus1,gesetzten_fruechte_auf_der_oberen_truss_minus2,gesetzten_fruechte_auf_der_oberen_truss_minus3,gesetzten_fruechte_auf_der_oberen_truss_minus4,gesetzten_fruechte_auf_der_oberen_truss_minus5,pflanze_nr
1,66,2025-03-29 00:00:00,13,4,0.307692308,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,68,2025-03-29 00:00:00,13,5,0.384615385,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,68,2025-04-05 00:00:00,14,1,0.071428571,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,68,2025-04-05 00:00:00,14,1,0.071428571,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,66,2025-04-05 00:00:00,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,66,2025-04-05 00:00:00,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7,67,2025-04-05 00:00:00,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,67,2025-04-05 00:00:00,14,1,0.071428571,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,68,2025-04-12 00:00:00,15,1,0.066666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,68,2025-04-12 00:00:00,15,1,0.066666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
11,66,2025-04-12 00:00:00,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,66,2025-04-12 00:00:00,15,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13,67,2025-04-12 00:00:00,15,1,0.066666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,67,2025-04-12 00:00:00,15,1,0.066666667,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
